Company Name,Title,Project brief ,Project Background,Requiements
ATX,ATX Software Testing Suite,Automated testing suite for all software products developed by ATX,This project will focus on graphical user interface testing on Android and web environment.,"Generates user interface events and observes the changes resulting in the user interface.
 The main product that will be tested includes Mypospay, Gopay, Gopayz, Runcit Hero.  
Technology used includes selenium, testcraft, phantomjs and many more. The project will also include dashboard development for test report"
,Prediction on Obesity associates with Lifestyles and Diseases,Identify the effective indicators of obesity by using appropriate statistical techniques,The main objective of the present study is to address obesity prediction in three stages.,"To propose the features in determining obesity
To estimate the parameters of the Predictive model using BN and SEM
To develop a predictive model in associates lifestyles and diseases.
To develop a platform as a website to predict Obesity and visualize for patients"
,Mobile Advertising Platform with Designing Suite Title,"To improve employee communications and engagement, particularly in relation to employee health and well-being and workplace performance",The goal of the project is to create a mobile application that allows users to check their personal information as well as their health and well-being.,"to provide direct communications on employment benefits, health and performance, as well as wallet for rewards"
PurposePurchase Sdh Bhd,PurposePurchase,"
cause-related ecommerce app, as well as a platform, 
targeting socially-conscious consumers in Malaysia","PurposePurchase is an online e-commerce platform, available via smartphone app.
The platform would be the only cause-focused e-marketplace available in Malaysia.","To build an e-commerce app which centralizes all the causes and cause related products in one platform.
To provide easy access for consumers towards contributing back to the society and their communities.
To promote and enhance the idea of supporting and giving back to the communities via purchasing online.  
"
,Educational Game ,The aim of this project is to create an educational game to aid the teaching and learning of Statistics.,"The students will be given a concept document, bibles of characters, settings, puzzles, flowcharts, concept art, storyboards, dialogue script and design script of the methods involved in Statistics. 
The methods involved are collection of data, analysis of data, presentation of data, interpretation and decision making
The students are to explore, examine and develop the solutions using software methodology in the development of the game and process design",Develop the prototype which can be further improved in the future. 
ProximaX,Fake News Detection ,This project focuses on developing a solution using ProximaX blockchain to detect fake news on social media network.,"A trust index based framework needs to be developed to define and establish a mechanism to represent the empirical relationship between source verification, author credibility check and news credibility.",Use proximax blockchain for the development of the fake news detecting platform 
Coinnov8 Web Portal,Content Management System in an IOT environment ,"The CMS will manage information, advertisements to be sent to smart tvs, digital screens and any device that is connected to receive multitude of content from the system","There is a lacking of CMS system that is built on a web based model. 
 Legacy hardwares such as TVs and digital screens are not connected to receive content updates to inform tenants of coworking space and office buildings. 
The web portal can solve this technology gap with the help of some minimal IOT device or using free connectivity such as LORA or WIFI within the vicinity.","Web based portal able to send content to be displayed on screens
Portal able to cast content to non-smart screens such as TVs via an additional of simple connectivity devices (e.g. Bluetooth cast, beacon etc)
Portal able to schedule contents in advance by calendar
Portal able to direct send content to smart screens to be played as a loop
Templates of design for simple upload of content to screens
Mobile friendly
Portal with Corporate Branding UI

"
,FaceCheck ,Face-check is a facial recognition system comprising of both hardware and software for hotels and resorts to use.,"All the guests would need to do is key in their details in the system and it would come out with their keys to the room. 
Besides, the interface would also have space to key in any special request of their guest which they would do if they checked in the hotel through the counter.","To develop necessary hardware such as camera for the facial recognnition system.
To develop the interface and software for the users to use. 
To provide a system to the hotels to maintain a database. 
Create a homepage, special request, room change request, payment interface, key card drop box 
"
ATX / MSC ,"
Nodejs Port of ATX Wallet System
","This project will include requirement gathering and development for ATX’s current wallet system, which will be ported to more robust, cost effective and scalable solution development platform: nodejs","This project will also improve drawbacks of the wallet system. This project will include API gateway development, frontend and backend development, microservices, queues and container technology.","Technology used includes nodejs, vuejs, docker, git, nosql, machine learning (transaction fraud monitoring) and many more.
"
ATX / MSC ,Nodejs Port of Mypospay Backend,Mypospay enable merchants to become mini Pos Malaysia. ," Current backend system is built using PHP and Laravel framework; which is not scalable as the number of parcel transaction increases. 
Nodejs is a good choice to rewrite the whole backend system with modular and microservices architecture. ","This project includes requirement gathering, microservice & API development and webapp development (dashboard). 
Technology used includes, Google maps, nodejs, vuejs, git, docker, firebase cloud messaging and many more"
